sta_id,name_ja,name_en
Okubo,大久保,Okubo
Okuma,逢隈,Ōkuma
Okusawa,奥沢,Okusawa
OkuTama,奥多摩,Oku-Tama
Ome,青梅,Ome
Omigawa,小見川,Omigawa
Omika,大甕,Omika
Omiya,大宮,Omiya
Omokagebashi,面影橋,Omokagebashi
Omori,大森,Omori
Omorikaigan,大森海岸,Ōmorikaigan
Omorimachi,大森町,Ōmorimachi
OmoteSando,表参道,Omote-sando
Onarimon,御成門,Onarimon
Onjuku,御宿,Onjuku
Ono,大野,Ono
Onuki,大貫,Onuki
Oppama,追浜,Oppama
Orihara,折原,Orihara
Osaki,大崎,Osaki
Oshiage,押上,Oshiage
Otemachi,大手町,Otemachi
Oto,大戸,Oto
Otorii,大鳥居,Ōtorii
Otsuka,大塚,Otsuka
OtsukaEkimae,大塚駅前,Otsuka-ekimae
OtsukaTeikyoDaigaku,大塚・帝京大学,Otsuka-Teikyo-Daigaku
Otsuki,大月,Ōtsuki
Otsuko,大津港,Otsuko
Oyama,小山,Oyama
Ozaku,小作,Ozaku
Rifu,利府,Rifu
Rokucho,六町,Rokuchō
Rokugodote,六郷土手,Rokugōdote
Roppongi,六本木,Roppongi
RoppongiItchome,六本木一丁目,Roppongi-itchome
Ryogoku,両国,Ryogoku
Ryokuentoshi,緑園都市,Ryokuentoshi
Ryugasakishi,龍ケ崎市,Ryugasakishi
RyutsuCenter,流通センター,Ryūtsū Center
Sagamihara,相模原,Sagamihara
Sagamino,さがみ野,Sagamino
SagamiOno,相模大野,Sagami-Ono
SagamiOtsuka,相模大塚,Sagami-Otsuka
Saginuma,鷺沼,Saginuma
SaitamaShintoshin,さいたま新都心,Saitama-Shintoshin
Sakaecho,栄町,Sakaecho
Sakamoto,坂元,Sakamoto
Sakura,佐倉,Sakura
Sakuradamon,桜田門,Sakuradamon
Sakuragicho,桜木町,Sakuragicho
Sakurajosui,桜上水,Sakurajōsui
Sakurakaido,桜街道,Sakurakaido
Samezu,鮫洲,Samezu
Samukawa,寒川,Samukawa
Sanukimachi,佐貫町,Sanukimachi
Saruda,猿田,Saruda
Sasagawa,笹川,Sasagawa
Sasazuka,笹塚,Sasazuka
Sashiogi,指扇,Sashiogi
Sawa,佐和,Sawa
Sawai,沢井,Sawai
Sawara,佐原,Sawara
Seibijo,整備場,Seibijō
SeibuChichibu,西武秩父,Seibu-Chichibu
SeijogakuenMae,成城学園前,Seijogakuen-mae
Sendagaya,千駄ケ谷,Sendagaya
Sendagi,千駄木,Sendagi
Sendai,仙台,Sendai
Sengakuji,泉岳寺,Sengakuji
Sengoku,千石,Sengoku
Senkawa,千川,Senkawa
Seya,瀬谷,Seya
Shake,社家,Shake
ShakujiiKoen,石神井公園,Shakujii-kōen
Shibakoen,芝公園,Shibakoen
ShibasakiTaiikukan,柴崎体育館,Shibasaki-Taiikukan
ShibayamaChiyoda,芝山千代田,Shibayama-Chiyoda
Shibuya,渋谷,Shibuya
Shiishiba,椎柴,Shiishiba
Shiki,志木,Shiki
Shimbamba,新馬場,Shimbamba
Shimbashi,新橋,Shimbashi
Shimmachi,新町,Shimmachi
ShimMaebashi,新前橋,Shin-Maebashi
ShimMatsudo,新松戸,Shim-Matsudo
ShimMisato,新三郷,Shim-Misato
ShimMobara,新茂原,Shim-Mobara
Shimo,志茂,Shimo
Shimogori,下郡,Shimogori
Shimoiida,下飯田,Shimoiida
Shimomizo,下溝,Shimomizo
Shimonagaya,下永谷,Shimonagaya
ShimosaKozaki,下総神崎,Shimosa-Kozaki
ShimosaManzaki,下総松崎,Shimosa-Manzaki
ShimosaNakayama,下総中山,Shimosa-Nakayama
ShimosaTachibana,下総橘,Shimosa-Tachibana
ShimosaToyosato,下総豊里,Shimosa-Toyosato
ShimuraSakaue,志村坂上,Shimura-sakaue
ShimuraSanchome,志村三丁目,Shimura-sanchome
Shinagawa,品川,Shinagawa
ShinagawaSeaside,品川シーサイド,Shinagawa Seaside
ShinAkitsu,新秋津,Shin-Akitsu
Shinanomachi,信濃町,Shinanomachi
Shinchi,新地,Shinchi
ShinEgota,新江古田,Shin-egota
ShinItabashi,新板橋,Shin-itabashi
Shinjuku,新宿,Shinjuku
ShinjukuGyoemmae,新宿御苑前,Shinjuku-gyoemmae
ShinjukuNishiguchi,新宿西口,Shinjuku-nishiguchi
ShinjukuSanchome,新宿三丁目,Shinjuku-sanchome
ShinKawasaki,新川崎,Shin-Kawasaki
ShinKemigawa,新検見川,Shin-Kemigawa
ShinKiba,新木場,Shin-kiba
ShinKodaira,新小平,Shin-Kodaira
ShinKoenji,新高円寺,Shin-koenji
ShinKoiwa,新小岩,Shin-Koiwa
ShinKoshinzuka,新庚申塚,Shin-koshinzuka
ShinKoyasu,新子安,Shin-Koyasu
ShinNakano,新中野,Shin-nakano
ShinNarashino,新習志野,Shin-Narashino
ShinNihombashi,新日本橋,Shin-Nihombashi
ShinOchanomizu,新御茶ノ水,Shin-ochanomizu
ShinOkachimachi,新御徒町,Shin-okachimachi
ShinOkubo,新大久保,Shin-Okubo
Shinonome,東雲,Shinonome
Shinotsu,新大津,Shin-ōtsu
ShinOtsuka,新大塚,Shin-otsuka
Shinozaki,篠崎,Shinozaki
ShinrinKoen,森林公園,Shinri-kōen
ShinSeibijo,新整備場,Shin Seibijō
ShinShibaura,新芝浦,Shin-Shibaura
ShinShiraoka,新白岡,Shin-Shiraoka
ShinSugita,新杉田,Shin-Sugita
ShinTakashimadaira,新高島平,Shin-takashimadaira
Shintomicho,新富町,Shintomicho
ShinUrayasu,新浦安,Shin-Urayasu
ShinYahashira,新八柱,Shin-Yahashira
ShinYokohama,新横浜,Shin-Yokohama
Shiodome,汐留,Shiodome
Shioiri,汐入,Shioiri
Shiomi,潮見,Shiomi
Shiraoka,白岡,Shiraoka
Shirokanedai,白金台,Shirokanedai
ShirokaneTakanawa,白金高輪,Shirokane-takanawa
Shiromaru,白丸,Shiromaru
Shisui,酒々井,Shisui
Shitte,尻手,Shitte
Shonandai,湘南台,Shonandai
Showa,昭和,Showa
Showajima,昭和島,Shōwajima
Shukugawara,宿河原,Shukugawara
Shuzenji,修善寺,Shuzenji
Sobudaishita,相武台下,Sobudaishita
Sodegaura,袖ケ浦,Sodegaura
Soga,蘇我,Soga
Soma,相馬,Soma
Suehirocho,末広町,Suehirocho
Suetsugi,末続,Suetsugi
Sugamo,巣鴨,Sugamo
Sugamoshinden,巣鴨新田,Sugamoshinden
Sugita,杉田,Sugita
Suidobashi,水道橋,Suidobashi
Suigo,水郷,Suigo
Suitengumae,水天宮前,Suitengumae
Sumiyoshi,住吉,Sumiyoshi
SunagawaNanaban,砂川七番,Sunagawa-Nanaban
Suzukicho,鈴木町,Suzukichō
Suzumenomiya,雀宮,Suzumenomiya
Tabata,田端,Tabata
Tachiaigawa,立会川,Tachiaigawa
Tachihi,立飛,Tachihi
Tachikawa,立川,Tachikawa
TachikawaKita,立川北,Tachikawa-Kita
TachikawaMinami,立川南,Tachikawa-Minami
Taishido,太子堂,Taishidō
Taito,太東,Taito
Takadanobaba,高田馬場,Takadanobaba
Takahagi,高萩,Takahagi
Takahama,高浜,Takahama
Takahatafudo,高幡不動,Takahatafudo
Takamatsu,高松,Takamatsu
Takanawadai,高輪台,Takanawadai
TakanawaGateway,高輪ゲートウェイ,Takanawa Gateway
Takao,高尾,Takao
Takaosanguchi,高尾山口,Takaosanguchi
Takaracho,宝町,Takaracho
Takasaki,高崎,Takasaki
Takashimacho,高島町,Takashimacho
Takashimadaira,高島平,Takashimadaira
Takata,高田,Takata
Takebashi,竹橋,Takebashi
Takenotsuka,竹ノ塚,Takenotsuka
Takeoka,竹岡,Takeoka
Takezawa,竹沢,Takezawa
TakinogawaItchome,滝野川一丁目,Takinogawa-itchome
TamaCenter,多摩センター,Tama Center
Tamachi,田町,Tamachi
TamaDobutsukoen,多摩動物公園,Tama-Dobutsukoen
TamagawaJosui,玉川上水,Tamagawa-Josui
TameikeSanno,溜池山王,Tameike-sanno
Tansho,丹荘,Tansho
Tateba,立場,Tateba
Tatekoshi,館腰,Tatekoshi
Tateyama,館山,Tateyama
Tatsumi,辰巳,Tatsumi
Tatsuta,竜田,Tatsuta
Taura,田浦,Taura
Tawarada,俵田,Tawarada
Tawaramachi,田原町,Tawaramachi
Tenkubashi,天空橋,Tenkūbashi
Tennocho,天王町,Tennocho
Tennodai,天王台,Tennodai
TennozuIsle,天王洲アイル,Tennōzu Isle
Tobe,戸部,Tobe
TobuDobutsuKoen,東武動物公園,Tōbu-Dōbutsu-Kōen
TobuNikko,東武日光,Tōbu-Nikkō
Tochomae,都庁前,Tochomae
Toda,戸田,Toda
Todaimae,東大前,Todaimae
TodaKoen,戸田公園,Toda-Koen
TodenZoshigaya,都電雑司ヶ谷,Toden-zoshigaya
Togane,東金,Togane
Togoshi,戸越,Togoshi
Tokai,東海,Tokai
Tokaichiba,十日市場,Tokaichiba
Toke,土気,Toke
Tokorozawa,所沢,Tokorozawa
Tokyo,東京,Tokyo
TokyoTeleport,東京テレポート,Tokyo Teleport
Tomioka,富岡,Tomioka
Tomiura,富浦,Tomiura
Tomobe,友部,Tomobe
Toneri,舎人,Toneri
ToneriKoen,舎人公園,Toneri-koen
Torami,東浪見,Torami
Toranomon,虎ノ門,Toranomon
ToranomonHills,虎ノ門ヒルズ,Toranomon-hills
Toride,取手,Toride
Toro,土呂,Toro
Toshimaen,豊島園,Toshimaen
Totsuka,戸塚,Totsuka
Toyocho,東陽町,Toyocho
Toyoda,豊田,Toyoda
ToyoKatsutadai,東葉勝田台,Tōyō-Katsutadai
Toyosu,豊洲,Toyosu
Tsuchiura,土浦,Tsuchiura
Tsudanuma,津田沼,Tsudanuma
Tsudayama,津田山,Tsudayama
Tsuga,都賀,Tsuga
Tsujido,辻堂,Tsujido
Tsukiji,築地,Tsukiji
Tsukijishijo,築地市場,Tsukijishijo
Tsukishima,月島,Tsukishima
Tsukuba,つくば,Tsukuba
Tsukuihama,津久井浜,Tsukuihama
Tsurugamine,鶴ヶ峰,Tsurugamine
Tsurumi,鶴見,Tsurumi
TsurumiIchiba,鶴見市場,Tsurumi-ichiba
Tsurumiono,鶴見小野,Tsurumiono
TsuzukiFureainooka,都筑ふれあいの丘,Tsuzuki-Fureainooka
Ubara,鵜原,Ubara
Uchigo,内郷,Uchigo
Uchihara,内原,Uchihara
Uchisaiwaicho,内幸町,Uchisaiwaicho
Ueda,植田,Ueda
Ueno,上野,Ueno
UenoHirokoji,上野広小路,Ueno-hirokoji
UenoOkachimachi,上野御徒町,Ueno-okachimachi
Uguisudani,鶯谷,Uguisudani
Ujiie,氏家,Ujiie
Ukimafunado,浮間舟渡,Ukimafunado
Umeyashiki,梅屋敷,Umeyashiki
UmiShibaura,海芝浦,Umi-Shibaura
Uraga,浦賀,Uraga
Urawa,浦和,Urawa
UrawaMisono,浦和美園,Urawa-Misono
Urayasu,浦安,Urayasu
Usami,宇佐美,Usami
UshigomeKagurazaka,牛込神楽坂,Ushigome-kagurazaka
UshigomeYanagicho,牛込柳町,Ushigome-yanagicho
Ushihama,牛浜,Ushihama
Ushiku,牛久,Ushiku
Utsunomiya,宇都宮,Utsunomiya
Wadamachi,和田町,Wadamachi
Wadaura,和田浦,Wadaura
Wakabadai,若葉台,Wakabadai
WakamatsuKawada,若松河田,Wakamatsu-kawada
Wakoshi,和光市,Wakoshi
Warabi,蕨,Warabi
Waseda,早稲田,Waseda
Watari,亘理,Watari
Yabe,矢部,Yabe
Yachimata,八街,Yachimata
YachiyoMidorigaoka,八千代緑が丘,Yachiyo-Midorigaoka
Yagawa,矢川,Yagawa
Yaho,谷保,Yaho
Yaita,矢板,Yaita
Yako,矢向,Yako
Yamashita,山下,Yamashita
Yamate,山手,Yamate
Yamato,大和,Yamato
Yanokuchi,矢野口,Yanokuchi
Yashio,八潮,Yashio
Yatsumi,八積,Yatsumi
Yawatajuku,八幡宿,Yawatajuku
Yayoidai,弥生台,Yayoidai
Yazaike,谷在家,Yazaike
Yodo,用土,Yodo
Yokaichiba,八日市場,Yokaichiba
Yokodai,洋光台,Yokodai
Yokohama,横浜,Yokohama
Yokoshiba,横芝,Yokoshiba
Yokosuka,横須賀,Yokosuka
YokosukaChuo,横須賀中央,Yokosuka-chūō
Yokota,横田,Yokota
Yono,与野,Yono
YonoHommachi,与野本町,Yono-Hommachi
Yonomori,夜ノ森,Yonomori
Yorii,寄居,Yorii
Yoshikawa,吉川,Yoshikawa
Yoshikawaminami,吉川美南,Yoshikawaminami
Yoshinocho,吉野町,Yoshinocho
Yotsukaido,四街道,Yotsukaido
Yotsukura,四ツ倉,Yotsukura
Yotsuya,四ツ谷,Yotsuya
YotsuyaSanchome,四谷三丁目,Yotsuya-sanchome
Yoyogi,代々木,Yoyogi
YoyogiKoen,代々木公園,Yoyogi-koen
YoyogiUehara,代々木上原,Yoyogi-uehara
YrpNobi,YRP野比,YRP Nobi
Yugawara,湯河原,Yugawara
Yumegaoka,ゆめが丘,Yumegaoka
Yumoto,湯本,Yumoto
Yurakucho,有楽町,Yurakucho
Yushima,湯島,Yushima
Zoshigaya,雑司が谷,Zoshigaya
Zoshiki,雑色,Zōshiki
Zushi,逗子,Zushi
ZushiHayama,逗子・葉山,Zushi·Hayama
